datetime,uid,event
2015-07-13 23:56:41,1697,signup
2015-07-14 00:00:16,2231,signup
2015-07-14 00:00:50,1848,signup
2015-07-14 00:03:51,2030,signup
2015-07-14 00:55:39,2244,signup
2015-07-14 01:01:51,1954,signup
2015-07-14 01:04:44,2104,signup
2015-07-14 01:21:17,2329,signup
2015-07-14 01:23:48,2055,signup
2015-07-14 01:27:14,2292,signup
2015-07-14 01:34:24,2057,signup
2015-07-14 01:41:40,1707,signup
2015-07-14 01:44:23,2357,signup
2015-07-14 01:55:56,1418,signup
2015-07-14 02:01:33,2379,signup
2015-07-14 02:19:17,1458,signup
2015-07-14 02:55:32,1529,signup
2015-07-14 03:02:03,1829,signup
2015-07-14 03:06:08,1421,signup
2015-07-14 03:06:31,1515,signup
2015-07-14 03:19:29,1646,signup
2015-07-14 03:22:10,1661,signup
2015-07-14 03:27:12,1950,signup
2015-07-14 03:29:54,1477,signup
2015-07-14 03:42:34,2421,signup
2015-07-14 03:54:39,1349,signup
2015-07-14 03:56:29,1617,signup
2015-07-14 04:19:43,1710,signup
2015-07-14 04:25:52,1572,signup
2015-07-14 05:00:24,1366,signup
2015-07-14 05:02:50,1409,signup
2015-07-14 05:03:33,1604,signup
2015-07-14 05:15:59,1466,signup
2015-07-14 05:27:13,2344,signup
2015-07-14 05:31:28,1478,signup
2015-07-14 05:47:14,1413,signup
2015-07-14 05:52:10,2307,signup
2015-07-14 05:54:58,2411,signup
2015-07-14 05:56:55,1559,signup
2015-07-14 06:03:59,2215,signup
2015-07-14 06:27:41,1344,signup
2015-07-14 06:42:37,2275,signup
2015-07-14 06:51:05,1450,signup
2015-07-14 06:56:54,1925,signup
2015-07-14 07:22:50,1845,signup
2015-07-14 07:41:20,1842,signup
2015-07-14 07:52:45,2361,signup
2015-07-14 07:55:19,1459,signup
2015-07-14 07:57:25,2345,signup
2015-07-14 08:08:46,1873,signup
2015-07-14 08:30:37,1693,signup
2015-07-14 08:44:30,2003,signup
2015-07-14 08:48:14,1691,signup
2015-07-14 08:53:06,1870,signup
2015-07-14 09:08:59,2012,signup
2015-07-14 09:19:31,1573,signup
2015-07-14 09:20:37,1550,signup
2015-07-14 09:30:44,2240,signup
2015-07-14 09:32:46,1570,signup
2015-07-14 09:51:42,1790,signup
2015-07-14 09:53:50,1562,signup
2015-07-14 10:00:35,1720,signup
2015-07-14 10:18:45,1462,signup
2015-07-14 10:32:20,2199,signup
2015-07-14 10:41:50,1891,signup
2015-07-14 10:42:51,1647,signup
2015-07-14 10:45:25,1903,signup
2015-07-14 11:15:30,1814,signup
2015-07-14 11:23:04,2212,signup
2015-07-14 11:26:27,1932,signup
2015-07-14 11:37:31,1929,signup
2015-07-14 11:44:15,1933,signup
2015-07-14 11:54:12,2354,signup
2015-07-14 11:59:42,2149,signup
2015-07-14 12:14:29,2454,signup
2015-07-14 12:22:23,2295,signup
2015-07-14 12:29:03,1883,signup
2015-07-14 12:30:00,2323,signup
2015-07-14 12:39:26,2143,signup
2015-07-14 12:49:59,1356,signup
2015-07-14 12:51:25,2203,signup
2015-07-14 12:58:40,1401,signup
2015-07-14 13:23:45,2334,signup
2015-07-14 13:34:16,1858,signup
2015-07-14 13:35:11,1960,signup
2015-07-14 13:40:43,1362,signup
2015-07-14 13:41:03,2179,signup
2015-07-14 13:50:18,2429,signup
2015-07-14 13:50:57,1394,signup
2015-07-14 14:01:55,2333,signup
2015-07-14 14:03:18,1396,signup
2015-07-14 14:04:25,1985,signup
2015-07-14 14:13:02,1434,signup
2015-07-14 14:16:53,1602,signup
2015-07-14 14:21:23,1579,signup
2015-07-14 14:31:26,1739,signup
2015-07-14 14:51:01,2263,signup
2015-07-14 14:52:01,1970,signup
2015-07-14 14:55:28,1809,signup
2015-07-14 14:57:01,1343,signup
2015-07-14 15:11:26,1376,signup
2015-07-14 15:11:28,1391,signup
2015-07-14 15:13:13,1816,signup
2015-07-14 15:29:11,1567,signup
2015-07-14 15:54:26,2410,signup
2015-07-14 15:57:56,1682,signup
2015-07-14 16:00:06,1603,signup
2015-07-14 16:00:17,1969,signup
2015-07-14 16:10:44,2191,signup
2015-07-14 16:19:06,2419,signup
2015-07-14 16:21:59,2201,signup
2015-07-14 16:28:09,1659,signup
2015-07-14 16:31:09,1779,signup
2015-07-14 16:35:31,1955,signup
2015-07-14 16:49:43,2395,signup
2015-07-14 17:02:44,2388,signup
2015-07-14 17:08:09,1738,signup
2015-07-14 17:12:20,1353,signup
2015-07-14 17:13:12,1444,signup
2015-07-14 17:22:26,2399,signup
2015-07-14 17:27:45,1561,signup
2015-07-14 17:28:36,2309,signup
2015-07-14 17:54:23,1794,signup
2015-07-14 18:24:27,1523,signup
2015-07-14 18:28:53,1926,signup
2015-07-14 18:35:08,1636,signup
2015-07-14 18:36:40,1568,signup
2015-07-14 18:39:23,2035,signup
2015-07-14 18:45:33,2216,signup
2015-07-14 18:47:03,2046,signup
2015-07-14 18:55:00,2226,signup
2015-07-14 18:55:14,1512,signup
2015-07-14 19:04:38,1539,signup
2015-07-14 19:06:16,1472,signup
2015-07-14 19:20:04,1820,signup
2015-07-14 19:30:48,1910,signup
2015-07-14 19:43:44,1806,signup
2015-07-14 20:02:56,1440,signup
2015-07-14 20:03:59,1951,signup
2015-07-14 20:35:42,2363,signup
2015-07-14 20:46:18,2114,signup
2015-07-14 21:07:33,1695,signup
2015-07-14 21:14:00,1907,signup
2015-07-14 21:43:03,1361,signup
2015-07-14 21:58:17,2317,signup
2015-07-14 22:05:33,2129,signup
2015-07-14 22:16:50,2280,signup
2015-07-14 22:21:04,1887,signup
2015-07-14 22:36:37,1511,signup
2015-07-14 23:00:09,1700,signup
2015-07-14 23:06:40,2266,signup
2015-07-14 23:13:52,1940,signup
2015-07-14 23:15:16,2339,signup
2015-07-14 23:18:51,2084,signup
2015-07-15 00:15:33,2192,signup
2015-07-15 00:17:55,1631,signup
2015-07-15 00:30:36,1784,signup
2015-07-15 00:31:32,1730,signup
2015-07-15 00:37:42,2260,signup
2015-07-15 00:45:18,1962,signup
2015-07-15 00:52:00,2396,signup
2015-07-15 00:54:23,1648,signup
2015-07-15 01:12:06,1746,signup
2015-07-15 01:23:19,2408,signup
2015-07-15 01:28:46,1731,signup
2015-07-15 01:34:21,1594,signup
2015-07-15 01:36:03,1616,signup
2015-07-15 01:44:16,2389,signup
2015-07-15 01:46:26,1941,signup
2015-07-15 01:52:20,1964,signup
2015-07-15 01:53:59,1899,signup
2015-07-15 02:00:48,2270,signup
2015-07-15 02:02:04,1537,signup
2015-07-15 02:03:06,1398,signup
2015-07-15 02:09:50,2138,signup
2015-07-15 02:49:42,1805,signup
2015-07-15 02:52:30,1357,signup
2015-07-15 03:04:31,2078,signup
2015-07-15 03:10:05,1614,signup
2015-07-15 03:29:16,2249,signup
2015-07-15 03:47:42,2001,signup
2015-07-15 04:02:50,2184,signup
2015-07-15 04:07:30,2387,signup
2015-07-15 04:09:07,1505,signup
2015-07-15 04:21:25,2109,signup
2015-07-15 04:25:29,1578,signup
2015-07-15 04:33:32,2119,signup
2015-07-15 04:35:48,1975,signup
2015-07-15 04:37:46,2303,signup
2015-07-15 04:44:40,1943,signup
2015-07-15 04:46:48,1828,signup
2015-07-15 04:49:16,1924,signup
2015-07-15 04:55:48,2440,signup
2015-07-15 05:00:56,2449,signup
2015-07-15 05:01:50,2060,signup
2015-07-15 05:03:40,1685,signup
2015-07-15 05:04:33,2097,signup
2015-07-15 05:09:09,2225,signup
2015-07-15 05:16:27,1865,signup
2015-07-15 05:22:34,2172,signup
2015-07-15 05:33:15,2059,signup
2015-07-15 05:34:50,2163,signup
2015-07-15 05:44:58,2125,signup
2015-07-15 05:47:25,2230,signup
2015-07-15 05:57:04,1745,signup
2015-07-15 05:57:49,2234,signup
2015-07-15 06:08:33,1732,signup
2015-07-15 06:10:01,2130,signup
2015-07-15 06:10:45,1454,signup
2015-07-15 06:16:07,2332,signup
2015-07-15 06:21:33,1468,signup
2015-07-15 06:58:24,2415,signup
2015-07-15 07:13:57,2430,signup
2015-07-15 07:15:59,1804,signup
2015-07-15 07:32:50,2218,signup
2015-07-15 07:34:21,1721,signup
2015-07-15 07:36:12,1892,signup
2015-07-15 07:36:44,2220,signup
2015-07-15 07:39:12,1938,signup
2015-07-15 07:41:18,1984,signup
2015-07-15 07:42:00,2105,signup
2015-07-15 07:44:54,2259,signup
2015-07-15 08:09:10,1435,signup
2015-07-15 08:15:28,2137,signup
2015-07-15 08:16:09,1599,signup
2015-07-15 08:23:13,1708,signup
2015-07-15 08:43:04,1431,signup
2015-07-15 09:02:34,1947,signup
2015-07-15 09:07:50,1497,signup
2015-07-15 09:08:45,2394,signup
2015-07-15 09:10:47,2443,signup
2015-07-15 09:18:02,1541,signup
2015-07-15 09:24:53,1414,signup
2015-07-15 09:25:42,2021,signup
2015-07-15 09:29:13,2175,signup
2015-07-15 09:35:43,1520,signup
2015-07-15 09:41:01,1987,signup
2015-07-15 09:46:44,2083,signup
2015-07-15 09:57:41,2450,signup
2015-07-15 10:10:47,2435,signup
2015-07-15 10:12:24,1980,signup
2015-07-15 10:16:51,1546,signup
2015-07-15 10:25:45,2165,signup
2015-07-15 10:38:54,1635,signup
2015-07-15 10:41:33,2296,signup
2015-07-15 10:56:48,1715,signup
2015-07-15 10:57:13,1552,signup
2015-07-15 10:58:54,1948,signup
2015-07-15 11:28:45,1968,signup
2015-07-15 11:42:14,2274,signup
2015-07-15 11:45:42,1832,signup
2015-07-15 11:46:21,1764,signup
2015-07-15 12:13:07,1545,signup
2015-07-15 12:23:12,1862,signup
2015-07-15 12:28:55,1827,signup
2015-07-15 12:53:50,2173,signup
2015-07-15 12:56:11,1886,signup
2015-07-15 13:01:48,1424,signup
2015-07-15 13:22:40,1638,signup
2015-07-15 13:31:46,1680,signup
2015-07-15 13:39:38,2356,signup
2015-07-15 13:46:03,1437,signup
2015-07-15 14:00:18,2211,signup
2015-07-15 14:38:36,2038,signup
2015-07-15 14:42:44,1563,signup
2015-07-15 14:42:59,1696,signup
2015-07-15 14:56:23,1851,signup
2015-07-15 15:36:39,1833,signup
2015-07-15 15:38:10,2453,signup
2015-07-15 15:46:50,1412,signup
2015-07-15 15:52:24,2189,signup
2015-07-15 15:53:26,2181,signup
2015-07-15 16:06:03,2406,signup
2015-07-15 16:11:30,2029,signup
2015-07-15 16:28:34,2079,signup
2015-07-15 16:42:02,1652,signup
2015-07-15 16:59:45,1923,signup
2015-07-15 17:03:02,2162,signup
2015-07-15 17:20:35,1601,signup
2015-07-15 17:27:11,1416,signup
2015-07-15 17:33:39,1521,signup
2015-07-15 18:00:06,2074,signup
2015-07-15 18:13:32,1908,signup
2015-07-15 18:14:25,1411,signup
2015-07-15 18:15:39,2122,signup
2015-07-15 18:24:56,1949,signup
2015-07-15 18:34:50,2044,signup
2015-07-15 18:44:00,1544,signup
2015-07-15 18:59:08,1662,signup
2015-07-15 19:07:19,1789,signup
2015-07-15 19:12:59,1807,signup
2015-07-15 19:13:35,2290,signup
2015-07-15 19:17:07,1341,signup
2015-07-15 19:20:52,1818,signup
2015-07-15 19:23:44,1502,signup
2015-07-15 19:49:03,1824,signup
2015-07-15 19:53:35,2370,signup
2015-07-15 20:00:04,1455,signup
2015-07-15 20:10:04,1510,signup
2015-07-15 20:15:52,2422,signup
2015-07-15 20:25:22,2391,signup
2015-07-15 20:38:03,1694,signup
2015-07-15 20:45:22,2145,signup
2015-07-15 21:00:18,1928,signup
2015-07-15 21:00:37,2202,signup
2015-07-15 21:02:52,1475,signup
2015-07-15 21:03:03,2458,signup
2015-07-15 21:05:30,2070,signup
2015-07-15 21:14:54,2004,signup
2015-07-15 21:20:10,2008,signup
2015-07-15 21:20:44,1836,signup
2015-07-15 21:25:29,2248,signup
2015-07-15 21:40:12,1514,signup
2015-07-15 21:46:12,2013,signup
2015-07-15 21:47:21,1432,signup
2015-07-15 21:51:50,2151,signup
2015-07-15 21:57:02,1909,signup
2015-07-15 21:57:06,1702,signup
2015-07-15 22:12:46,1904,signup
2015-07-15 22:17:02,1810,signup
2015-07-15 22:34:21,1874,signup
2015-07-15 22:50:45,1688,signup
2015-07-15 22:56:14,2088,signup
2015-07-15 23:04:04,1632,signup
2015-07-15 23:15:07,1799,signup
2015-07-15 23:16:23,1744,signup
2015-07-15 23:34:52,1622,signup
2015-07-15 23:35:13,2159,signup
2015-07-15 23:55:29,1724,signup
2015-07-16 00:21:04,2444,signup
2015-07-16 00:23:38,2085,signup
2015-07-16 00:41:09,1399,signup
2015-07-16 00:41:58,2042,signup
2015-07-16 00:43:53,1355,signup
2015-07-16 00:58:04,2147,signup
2015-07-16 01:02:02,1560,signup
2015-07-16 01:04:15,2282,signup
2015-07-16 01:04:18,2382,signup
2015-07-16 01:09:54,1375,signup
2015-07-16 01:18:18,1725,signup
2015-07-16 01:25:07,2019,signup
2015-07-16 01:31:02,1967,signup
2015-07-16 01:33:52,1625,signup
2015-07-16 01:37:43,1853,signup
2015-07-16 01:41:41,1777,signup
2015-07-16 01:55:32,1867,signup
2015-07-16 02:06:07,1888,signup
2015-07-16 02:13:48,2431,signup
2015-07-16 02:14:48,1590,signup
2015-07-16 02:20:06,1918,signup
2015-07-16 02:40:15,1998,signup
2015-07-16 02:43:17,2456,signup
2015-07-16 02:47:12,1609,signup
2015-07-16 02:57:01,1838,signup
2015-07-16 03:04:46,2128,signup
2015-07-16 03:10:54,2455,signup
2015-07-16 03:14:15,2336,signup
2015-07-16 03:14:39,1983,signup
2015-07-16 03:17:29,1347,signup
2015-07-16 03:29:53,2198,signup
2015-07-16 03:39:41,2257,signup
2015-07-16 03:50:28,1709,signup
2015-07-16 03:54:59,1365,signup
2015-07-16 03:59:51,1830,signup
2015-07-16 04:01:25,1952,signup
2015-07-16 04:04:37,1670,signup
2015-07-16 04:26:24,2308,signup
2015-07-16 04:40:45,1919,signup
2015-07-16 04:48:23,2086,signup
2015-07-16 04:50:11,1351,signup
2015-07-16 05:09:12,1716,signup
2015-07-16 05:21:21,1901,signup
2015-07-16 05:31:32,2437,signup
2015-07-16 05:32:05,2340,signup
2015-07-16 05:53:50,1881,signup
2015-07-16 05:54:06,1507,signup
2015-07-16 05:57:43,1473,signup
2015-07-16 06:00:25,2127,signup
2015-07-16 06:01:47,1989,signup
2015-07-16 06:10:42,2107,signup
2015-07-16 06:25:07,2187,signup
2015-07-16 06:34:17,2066,signup
2015-07-16 06:52:05,1359,signup
2015-07-16 07:00:34,1350,signup
2015-07-16 07:09:19,2426,signup
2015-07-16 07:11:12,1717,signup
2015-07-16 07:16:32,2385,signup
2015-07-16 07:16:48,2224,signup
2015-07-16 07:17:04,2337,signup
2015-07-16 07:24:30,2267,signup
2015-07-16 07:33:30,2359,signup
2015-07-16 07:42:30,1610,signup
2015-07-16 07:42:50,1474,signup
2015-07-16 07:45:47,1713,signup
2015-07-16 07:50:22,1843,signup
2015-07-16 07:51:28,2219,signup
2015-07-16 07:53:14,2252,signup
2015-07-16 08:09:03,1726,signup
2015-07-16 08:16:54,1422,signup
2015-07-16 08:21:42,1686,signup
2015-07-16 08:35:24,1786,signup
2015-07-16 08:51:10,1931,signup
2015-07-16 08:53:46,1690,signup
2015-07-16 08:59:08,1382,signup
2015-07-16 09:03:16,1427,signup
2015-07-16 09:17:49,1663,signup
2015-07-16 09:32:12,2111,signup
2015-07-16 09:35:28,1430,signup
2015-07-16 09:50:21,2286,signup
2015-07-16 09:52:30,2311,signup
2015-07-16 09:59:00,1751,signup
2015-07-16 10:01:03,1890,signup
2015-07-16 10:05:05,1624,signup
2015-07-16 10:18:18,1463,signup
2015-07-16 10:27:32,1419,signup
2015-07-16 10:27:47,1863,signup
2015-07-16 10:37:51,1460,signup
2015-07-16 10:42:48,1780,signup
2015-07-16 10:52:26,1681,signup
2015-07-16 10:57:23,1372,signup
2015-07-16 11:15:09,1549,signup
2015-07-16 11:15:13,2312,signup
2015-07-16 11:40:42,2383,signup
2015-07-16 11:40:57,1834,signup
2015-07-16 11:58:00,1997,signup
2015-07-16 11:58:16,2115,signup
2015-07-16 12:00:44,2168,signup
2015-07-16 12:08:33,1503,signup
2015-07-16 12:14:02,1704,signup
2015-07-16 12:18:02,2210,signup
2015-07-16 12:19:27,1735,signup
2015-07-16 12:40:18,2276,signup
2015-07-16 12:41:41,1701,signup
2015-07-16 13:06:18,2053,signup
2015-07-16 13:06:57,2374,signup
2015-07-16 13:11:44,1902,signup
2015-07-16 14:06:33,1999,signup
2015-07-16 14:18:57,1812,signup
2015-07-16 14:40:51,2372,signup
2015-07-16 14:43:08,2245,signup
2015-07-16 14:43:54,1368,signup
2015-07-16 15:02:41,1660,signup
2015-07-16 15:06:52,2164,signup
2015-07-16 15:07:09,1856,signup
2015-07-16 15:11:03,1982,signup
2015-07-16 15:11:08,2451,signup
2015-07-16 15:12:04,1768,signup
2015-07-16 15:42:05,2365,signup
2015-07-16 15:44:37,1467,signup
2015-07-16 15:44:50,1374,signup
2015-07-16 15:57:58,1815,signup
2015-07-16 16:27:31,2232,signup
2015-07-16 16:51:19,1878,signup
2015-07-16 17:37:14,1581,signup
2015-07-16 17:54:26,1808,signup
2015-07-16 18:05:11,1439,signup
2015-07-16 18:17:37,1876,signup
2015-07-16 18:22:32,1857,signup
2015-07-16 18:26:37,2174,signup
2015-07-16 18:27:31,1753,signup
2015-07-16 18:35:54,2251,signup
2015-07-16 18:36:12,2093,signup
2015-07-16 18:37:44,1956,signup
2015-07-16 18:48:21,1404,signup
2015-07-16 18:54:50,2056,signup
2015-07-16 19:14:03,1825,signup
2015-07-16 19:20:05,1689,signup
2015-07-16 19:21:00,1637,signup
2015-07-16 19:33:19,1489,signup
2015-07-16 19:37:32,1869,signup
2015-07-16 19:38:30,1584,signup
2015-07-16 19:50:16,1803,signup
2015-07-16 19:56:30,1371,signup
2015-07-16 19:59:00,2040,signup
2015-07-16 19:59:28,2036,signup
2015-07-16 20:03:26,1719,signup
2015-07-16 20:18:02,1500,signup
2015-07-16 20:21:24,1593,signup
2015-07-16 20:26:11,2206,signup
2015-07-16 20:26:28,2185,signup
2015-07-16 20:33:25,1595,signup
2015-07-16 20:36:24,2033,signup
2015-07-16 20:39:25,2390,signup
2015-07-16 20:49:04,2247,signup
2015-07-16 21:19:58,1605,signup
2015-07-16 21:21:25,2318,signup
2015-07-16 21:29:59,1634,signup
2015-07-16 21:31:09,1868,signup
2015-07-16 21:43:57,1525,signup
2015-07-16 22:09:25,1492,signup
2015-07-16 22:14:19,2343,signup
2015-07-16 22:18:32,2402,signup
2015-07-16 22:32:52,2204,signup
2015-07-16 22:52:23,2039,signup
2015-07-16 23:01:57,1882,signup
2015-07-16 23:12:56,1577,signup
2015-07-16 23:15:20,1384,signup
2015-07-16 23:30:54,1447,signup
2015-07-16 23:39:28,2380,signup
2015-07-16 23:40:08,2438,signup
2015-07-16 23:41:29,2228,signup
2015-07-16 23:47:13,2169,signup
2015-07-16 23:47:38,1666,signup
2015-07-16 23:51:13,2076,signup
2015-07-16 23:58:23,2166,signup
2015-07-17 00:01:08,1446,signup
2015-07-17 00:03:40,1410,signup
2015-07-17 00:14:34,1363,signup
2015-07-17 00:17:46,2416,signup
2015-07-17 00:27:19,1965,signup
2015-07-17 00:34:52,1482,signup
2015-07-17 00:45:35,2446,signup
2015-07-17 01:06:07,1369,signup
2015-07-17 01:12:49,1385,signup
2015-07-17 01:15:44,1893,signup
2015-07-17 01:29:33,2349,signup
2015-07-17 01:33:54,1445,signup
2015-07-17 01:35:42,1339,signup
2015-07-17 01:59:46,1451,signup
2015-07-17 02:09:45,1461,signup
2015-07-17 02:13:25,1592,signup
2015-07-17 02:20:28,1566,signup
2015-07-17 02:20:35,2073,signup
2015-07-17 02:21:38,2188,signup
2015-07-17 02:23:19,1852,signup
2015-07-17 02:35:00,2022,signup
2015-07-17 02:51:39,1683,signup
2015-07-17 02:59:27,2062,signup
2015-07-17 03:03:28,1711,signup
2015-07-17 03:27:44,1884,signup
2015-07-17 03:53:31,1766,signup
2015-07-17 04:10:10,1623,signup
2015-07-17 04:18:12,1377,signup
2015-07-17 04:27:06,2049,signup
2015-07-17 04:27:50,2037,signup
2015-07-17 04:35:28,1737,signup
2015-07-17 04:37:06,2026,signup
2015-07-17 04:52:52,1861,signup
2015-07-17 05:09:50,1679,signup
2015-07-17 05:46:14,1407,signup
2015-07-17 05:49:44,2094,signup
2015-07-17 06:03:05,2095,signup
2015-07-17 06:27:35,1922,signup
2015-07-17 06:33:32,1727,signup
2015-07-17 06:38:43,2412,signup
2015-07-17 06:46:35,2205,signup
2015-07-17 06:47:35,2413,signup
2015-07-17 06:59:21,1703,signup
2015-07-17 07:04:20,1917,signup
2015-07-17 07:09:04,2283,signup
2015-07-17 07:25:26,2135,signup
2015-07-17 08:00:58,1516,signup
2015-07-17 08:10:04,1846,signup
2015-07-17 08:40:16,1895,signup
2015-07-17 08:46:10,2401,signup
2015-07-17 08:54:40,2302,signup
2015-07-17 09:02:42,1387,signup
2015-07-17 09:17:47,1557,signup
2015-07-17 09:18:43,1340,signup
2015-07-17 09:22:03,1436,signup
2015-07-17 09:40:06,1542,signup
2015-07-17 09:56:52,1626,signup
2015-07-17 10:11:43,2279,signup
2015-07-17 10:30:15,2177,signup
2015-07-17 10:40:25,1800,signup
2015-07-17 10:45:57,1740,signup
2015-07-17 10:59:54,2221,signup
2015-07-17 11:03:08,2071,signup
2015-07-17 11:09:13,2397,signup
2015-07-17 11:30:21,2157,signup
2015-07-17 11:31:41,1408,signup
2015-07-17 11:32:28,1558,signup
2015-07-17 11:37:54,1433,signup
2015-07-17 11:48:42,2134,signup
2015-07-17 11:53:51,1494,signup
2015-07-17 12:27:32,1470,signup
2015-07-17 12:30:27,1480,signup
2015-07-17 12:52:07,2326,signup
2015-07-17 12:55:09,2362,signup
2015-07-17 12:55:55,1338,signup
2015-07-17 13:03:07,2298,signup
2015-07-17 13:04:11,2331,signup
2015-07-17 13:14:07,2131,signup
2015-07-17 13:34:48,1448,signup
